"","RouteDataID","CountryNum","StateNum","Route","RPID","Year","AOU","seq","family","genus","species","Count10","Count20","Count30","Count40","Count50","StopTotal","SpeciesTotal","RouteYear"
"2126",6204475,124,68,15,101,1987,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,1,0,1,0,2,2,151987
"2127",6204475,124,68,15,101,1987,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",0,0,0,1,2,2,3,151987
"2128",6207227,124,68,15,101,1988,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,12,4,0,6,4,22,151988
"2129",6207227,124,68,15,101,1988,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",3,16,11,7,58,17,95,151988
"2130",6207227,124,68,15,101,1988,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",5,16,7,2,13,13,43,151988
"2131",6207227,124,68,15,101,1988,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,10,0,0,6,2,16,151988
"2132",6207227,124,68,15,101,1988,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",1,0,0,0,18,3,19,151988
"2133",6202590,124,68,15,101,1989,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,4,3,3,6,4,16,151989
"2134",6202590,124,68,15,101,1989,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",4,32,3,26,39,18,104,151989
"2135",6202590,124,68,15,101,1989,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",4,13,1,1,12,13,31,151989
"2136",6202590,124,68,15,101,1989,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,0,0,3,0,1,3,151989
"2137",6202590,124,68,15,101,1989,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",0,0,0,0,2,2,2,151989
"2138",6213917,124,68,15,101,1990,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,0,6,0,0,1,6,151990
"2139",6213917,124,68,15,101,1990,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",0,16,18,20,39,19,93,151990
"2140",6213917,124,68,15,101,1990,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",6,7,1,5,10,10,29,151990
"2141",6213917,124,68,15,101,1990,6160,1027,"Hirundinidae","Riparia","Bank Swallow",10,0,0,0,24,3,34,151990
"2142",6213917,124,68,15,101,1990,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",0,0,0,0,6,2,6,151990
"2143",6212175,124,68,15,101,1991,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,1,1,13,0,4,15,151991
"2144",6212175,124,68,15,101,1991,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",6,21,12,25,66,17,130,151991
"2145",6212175,124,68,15,101,1991,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",12,5,4,4,30,18,55,151991
"2146",6212175,124,68,15,101,1991,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,15,0,0,8,3,23,151991
"2147",6212175,124,68,15,101,1991,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",3,1,0,0,10,3,14,151991
"2148",6214305,124,68,15,101,1992,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,2,0,3,0,2,5,151992
"2149",6214305,124,68,15,101,1992,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",5,15,6,13,28,17,67,151992
"2150",6214305,124,68,15,101,1992,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",7,3,3,6,16,13,35,151992
"2151",6214305,124,68,15,101,1992,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,4,0,0,1,2,5,151992
"2152",6214305,124,68,15,101,1992,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",9,0,0,0,4,5,13,151992
"2153",6213879,124,68,15,101,1993,6110,1013,"Hirundinidae","Progne","Purple Martin",0,0,0,0,1,1,1,151993
"2154",6213879,124,68,15,101,1993,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,0,0,1,0,1,1,151993
"2155",6213879,124,68,15,101,1993,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",10,16,10,24,36,12,96,151993
"2156",6213879,124,68,15,101,1993,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",9,10,4,2,16,15,41,151993
"2157",6213879,124,68,15,101,1993,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,40,0,0,2,2,42,151993
"2158",6213879,124,68,15,101,1993,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",0,0,0,0,11,3,11,151993
"2159",6215803,124,68,15,101,1994,6110,1013,"Hirundinidae","Progne","Purple Martin",0,0,0,0,3,1,3,151994
"2160",6215803,124,68,15,101,1994,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,1,0,0,16,4,17,151994
"2161",6215803,124,68,15,101,1994,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",13,16,10,17,26,21,82,151994
"2162",6215803,124,68,15,101,1994,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",11,12,9,4,34,25,70,151994
"2163",6215803,124,68,15,101,1994,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,0,0,0,8,2,8,151994
"2164",6215803,124,68,15,101,1994,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",0,0,0,0,2,1,2,151994
"2165",6225091,124,68,15,101,1995,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,2,0,0,12,3,14,151995
"2166",6225091,124,68,15,101,1995,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",16,22,6,16,28,17,88,151995
"2167",6225091,124,68,15,101,1995,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",11,16,2,3,12,17,44,151995
"2168",6225091,124,68,15,101,1995,6160,1027,"Hirundinidae","Riparia","Bank Swallow",0,0,0,1,0,1,1,151995
"2169",6225091,124,68,15,101,1995,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",3,0,0,0,10,3,13,151995
"2170",6221862,124,68,15,101,1996,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",0,0,0,0,2,1,2,151996
"2171",6221862,124,68,15,101,1996,6130,1031,"Hirundinidae","Hirundo","Barn Swallow",12,11,18,14,41,20,96,151996
"2172",6221862,124,68,15,101,1996,6140,1019,"Hirundinidae","Tachycineta","Tree Swallow",10,15,8,3,27,19,63,151996
"2173",6221862,124,68,15,101,1996,6160,1027,"Hirundinidae","Riparia","Bank Swallow",4,2,0,10,0,3,16,151996
"2174",6221862,124,68,15,101,1996,6170,1025,"Hirundinidae","Stelgidopteryx","Northern Rough-winged Swallow",4,0,0,1,3,3,8,151996
"2175",6231015,124,68,15,101,1997,6120,1028,"Hirundinidae","Petrochelidon","Cliff Swallow",2,0,0,0,0,1,2,151997
